State,Level,Name,TRU,TOT_P,TOT_M,TOT_F
06,DISTRICT,Mahendragarh,Urban,132855,70307,62548
06,DISTRICT,Rewari,Total,900332,474335,425997
06,DISTRICT,Rewari,Rural,666902,349710,317192
06,DISTRICT,Rewari,Urban,233430,124625,108805
06,DISTRICT,Gurgaon,Total,1514432,816690,697742
06,DISTRICT,Gurgaon,Rural,472179,251462,220717
06,DISTRICT,Gurgaon,Urban,1042253,565228,477025
06,DISTRICT,Mewat ,Total,1089263,571162,518101
06,DISTRICT,Mewat ,Rural,965157,506086,459071
06,DISTRICT,Mewat ,Urban,124106,65076,59030
06,DISTRICT,Faridabad,Total,1809733,966110,843623
06,DISTRICT,Faridabad,Rural,370878,198103,172775
06,DISTRICT,Faridabad,Urban,1438855,768007,670848
06,DISTRICT,Palwal ,Total,1042708,554497,488211
06,DISTRICT,Palwal ,Rural,806164,428907,377257
06,DISTRICT,Palwal ,Urban,236544,125590,110954
07,STATE,NCT OF DELHI,Total,16787941,8987326,7800615
07,STATE,NCT OF DELHI,Rural,419042,226321,192721
07,STATE,NCT OF DELHI,Urban,16368899,8761005,7607894
07,DISTRICT,North West,Total,3656539,1960922,1695617
07,DISTRICT,North West,Rural,213950,115680,98270
07,DISTRICT,North West,Urban,3442589,1845242,1597347
07,DISTRICT,North,Total,887978,475002,412976
07,DISTRICT,North,Rural,17746,9546,8200
07,DISTRICT,North,Urban,870232,465456,404776
07,DISTRICT,North East,Total,2241624,1188425,1053199
07,DISTRICT,North East,Rural,21527,11718,9809
07,DISTRICT,North East,Urban,2220097,1176707,1043390
07,DISTRICT,East,Total,1709346,907500,801846
07,DISTRICT,East,Rural,3530,1861,1669
07,DISTRICT,East,Urban,1705816,905639,800177
07,DISTRICT,New Delhi,Total,142004,77942,64062
07,DISTRICT,New Delhi,Rural,0,0,0
07,DISTRICT,New Delhi,Urban,142004,77942,64062
07,DISTRICT,Central,Total,582320,307821,274499
07,DISTRICT,Central,Rural,0,0,0
07,DISTRICT,Central,Urban,582320,307821,274499
07,DISTRICT,West,Total,2543243,1356240,1187003
07,DISTRICT,West,Rural,6420,3355,3065
07,DISTRICT,West,Urban,2536823,1352885,1183938
07,DISTRICT,South West,Total,2292958,1246046,1046912
07,DISTRICT,South West,Rural,143676,77342,66334
07,DISTRICT,South West,Urban,2149282,1168704,980578
07,DISTRICT,South,Total,2731929,1467428,1264501
07,DISTRICT,South,Rural,12193,6819,5374
07,DISTRICT,South,Urban,2719736,1460609,1259127
08,STATE,RAJASTHAN,Total,68548437,35550997,32997440
08,STATE,RAJASTHAN,Rural,51500352,26641747,24858605
08,STATE,RAJASTHAN,Urban,17048085,8909250,8138835
08,DISTRICT,Ganganagar ,Total,1969168,1043340,925828
08,DISTRICT,Ganganagar ,Rural,1433736,758269,675467
08,DISTRICT,Ganganagar ,Urban,535432,285071,250361
08,DISTRICT,Hanumangarh,Total,1774692,931184,843508
08,DISTRICT,Hanumangarh,Rural,1424228,746887,677341
08,DISTRICT,Hanumangarh,Urban,350464,184297,166167
08,DISTRICT,Bikaner,Total,2363937,1240801,1123136
08,DISTRICT,Bikaner,Rural,1563553,821434,742119
08,DISTRICT,Bikaner,Urban,800384,419367,381017
08,DISTRICT,Churu,Total,2039547,1051446,988101
08,DISTRICT,Churu,Rural,1463312,755028,708284
08,DISTRICT,Churu,Urban,576235,296418,279817
