State_Code,Literacy_Group,Total - Persons,Total - Males,Total - Females
34,Middle but below matric/secondary,171301,85255,86046
34,Matric/Secondary but below graduate,336296,185024,151272
34,Graduate and above,142029,79482,62547
35,Illiterate,86300,38494,47806
35,Literate,294281,164377,129904
35,Literate but below primary,42129,22513,19616
35,Primary but below middle,68415,37920,30495
35,Middle but below matric/secondary,68620,39337,29283
35,Matric/Secondary but below graduate,84074,47467,36607
35,Graduate and above,24159,13622,10537
