districtid,overallid,cases
MP_Harda,overall,5055
MP_Hoshangabad,overall,10680
MP_Indore,overall,153017
MP_Jabalpur,overall,50645
MP_Jhabua,overall,7688
MP_Katni,overall,9365
MP_Khandwa,overall,4040
MP_Khargone,overall,13965
MP_Mandla,overall,5188
MP_Mandsaur,overall,8637
MP_Morena,overall,8236
MP_Narsinghpur,overall,11200
MP_Neemuch,overall,7924
MP_Panna,overall,7319
MP_Raisen,overall,9233
MP_Rajgarh,overall,8700
MP_Ratlam,overall,17855
MP_Rewa,overall,16431
MP_Sagar,overall,16593
MP_Satna,overall,11965
MP_Sehore,overall,10136
MP_Seoni,overall,6774
MP_Shahdol,overall,10080
MP_Shajapur,overall,6349
MP_Sheopur,overall,3998
MP_Shivpuri,overall,12393
MP_Sidhi,overall,9219
MP_Singrauli,overall,8793
MP_Tikamgarh,overall,6863
MP_Ujjain,overall,18896
MP_Umaria,overall,6293
MP_Vidisha,overall,11918
MZ_Aizawl,overall,32732
MZ_Champhai,overall,773
MZ_Kolasib,overall,4040
MZ_Lawngtlai,overall,2953
MZ_Lunglei,overall,3617
MZ_Mamit,overall,1559
MZ_Saiha,overall,975
MZ_Serchhip,overall,878
NL_Dimapur,overall,13417
NL_Kiphire,overall,231
NL_Kohima,overall,8808
NL_Longleng,overall,270
NL_Mokokchung,overall,2003
NL_Mon,overall,1099
NL_Peren,overall,883
NL_Phek,overall,476
NL_Tuensang,overall,993
NL_Wokha,overall,334
NL_Zunheboto,overall,583
OR_Angul,overall,43154
OR_Balangir,overall,23237
OR_Balasore,overall,38789
OR_Bargarh,overall,30800
OR_Bhadrak,overall,25784
OR_Boudh,overall,12535
OR_Cuttack,overall,88737
OR_Deogarh,overall,6225
OR_Dhenkanal,overall,19285
OR_Gajapati,overall,9540
OR_Ganjam,overall,33521
OR_Jagatsinghpur,overall,26235
OR_Jajpur,overall,41855
OR_Jharsuguda,overall,23644
OR_Kalahandi,overall,24186
OR_Kandhamal,overall,11412
OR_Kendrapara,overall,23834
OR_Kendujhar,overall,20587
OR_Khordha,overall,155204
OR_Koraput,overall,18891
OR_Malkangiri,overall,11545
OR_Mayurbhanj,overall,39110
OR_Nabarangapur,overall,23476
OR_Nayagarh,overall,22928
OR_Nuapada,overall,22815
OR_Puri,overall,44097
OR_Rayagada,overall,19908
OR_Sambalpur,overall,30667
OR_Subarnapur,overall,13103
OR_Sundargarh,overall,60951
PB_Amritsar,overall,47144
PB_Barnala,overall,5917
PB_Bathinda,overall,41571
PB_Faridkot,overall,13843
PB_Fatehgarh Sahib,overall,8808
PB_Fazilka,overall,20191
PB_Ferozepur,overall,14248
PB_Gurdaspur,overall,22255
PB_Hoshiarpur,overall,30687
PB_Jalandhar,overall,63173
PB_Kapurthala,overall,17784
PB_Ludhiana,overall,87422
PB_Mansa,overall,15576
PB_Moga,overall,8632
PB_Pathankot,overall,18622
PB_Patiala,overall,48761
PB_Rupnagar,overall,12881
PB_S.A.S. Nagar,overall,68528
PB_Sangrur,overall,15694
PB_Shahid Bhagat Singh Nagar,overall,11435
PB_Sri Muktsar Sahib,overall,18733
PB_Tarn Taran,overall,7991
PY_Karaikal,overall,15191
PY_Mahe,overall,5047
PY_Puducherry,overall,95334
PY_Yanam,overall,6631
RJ_Ajmer,overall,37720
RJ_Alwar,overall,59659
RJ_Banswara,overall,10005
RJ_Baran,overall,11993
RJ_Barmer,overall,15550
RJ_Bharatpur,overall,19591
RJ_Bhilwara,overall,29773
RJ_Bikaner,overall,40311
RJ_Bundi,overall,7967
RJ_Chittorgarh,overall,19809
RJ_Churu,overall,16719
RJ_Dausa,overall,13351
RJ_Dholpur,overall,11006
RJ_Dungarpur,overall,18407
RJ_Ganganagar,overall,19338
RJ_Hanumangarh,overall,16051
RJ_Jaipur,overall,187613
RJ_Jaisalmer,overall,13639
RJ_Jalore,overall,10065
RJ_Jhalawar,overall,13600
RJ_Jhunjhunu,overall,14802
RJ_Jodhpur,overall,112374
RJ_Karauli,overall,7156
RJ_Kota,overall,57051
RJ_Nagaur,overall,17731
RJ_Pali,overall,27315
RJ_Pratapgarh,overall,7143
RJ_Rajsamand,overall,17041
RJ_Sawai Madhopur,overall,10605
RJ_Sikar,overall,30607
RJ_Sirohi,overall,13729
RJ_Tonk,overall,9495
RJ_Udaipur,overall,56372
TN_Ariyalur,overall,16087
TN_Chengalpattu,overall,163608
TN_Chennai,overall,540971
TN_Coimbatore,overall,232575
TN_Cuddalore,overall,61434
TN_Dharmapuri,overall,26486
TN_Dindigul,overall,32350
TN_Erode,overall,96087
TN_Kallakurichi,overall,29632
TN_Kancheepuram,overall,72248
TN_Kanyakumari,overall,60534
TN_Karur,overall,22885
TN_Krishnagiri,overall,41713
TN_Madurai,overall,73786
TN_Nagapattinam,overall,19161
TN_Namakkal,overall,47938
TN_Nilgiris,overall,31189
TN_Perambalur,overall,11597
TN_Pudukkottai,overall,28618
TN_Ramanathapuram,overall,20124
TN_Ranipet,overall,42229
TN_Salem,overall,94688
TN_Sivaganga,overall,19077
TN_Tenkasi,overall,26944
TN_Thanjavur,overall,69299
TN_Theni,overall,43070
TN_Thiruvallur,overall,114684
TN_Thiruvarur,overall,38449
TN_Thoothukkudi,overall,55306
TN_Tiruchirappalli,overall,73428
TN_Tirunelveli,overall,48194
TN_Tirupathur,overall,28442
TN_Tiruppur,overall,89029
TN_Tiruvannamalai,overall,52724
TN_Vellore,overall,48447
TN_Viluppuram,overall,44280
TN_Virudhunagar,overall,45646
TR_Dhalai,overall,6887
TR_Gomati,overall,7851
TR_Khowai,overall,4481
TR_North Tripura,overall,6938
TR_Sipahijala,overall,6138
TR_South Tripura,overall,9808
TR_Unokoti,overall,8277
TR_West Tripura,overall,30734
UP_Agra,overall,25736
UP_Aligarh,overall,21276
UP_Ambedkar Nagar,overall,5027
UP_Amethi,overall,9958
UP_Amroha,overall,16610
UP_Auraiya,overall,10080
UP_Ayodhya,overall,16912
UP_Azamgarh,overall,17891
UP_Baghpat,overall,9129
UP_Bahraich,overall,11546
UP_Ballia,overall,21606
UP_Banda,overall,10986
UP_Barabanki,overall,19833
UP_Bareilly,overall,43973
UP_Basti,overall,11714
UP_Bhadohi,overall,7717
UP_Bijnor,overall,14788
UP_Budaun,overall,14924
UP_Bulandshahr,overall,20202
UP_Chandauli,overall,16198
UP_Chitrakoot,overall,7106
UP_Deoria,overall,20212
UP_Etah,overall,9964
UP_Etawah,overall,13928
UP_Farrukhabad,overall,10340
UP_Fatehpur,overall,6803
UP_Firozabad,overall,8715
UP_Gautam Buddha Nagar,overall,63237
UP_Ghaziabad,overall,55625
UP_Ghazipur,overall,21637
UP_Gonda,overall,12282
UP_Gorakhpur,overall,59378
UP_Hapur,overall,12629
UP_Hardoi,overall,13754
UP_Hathras,overall,2917
UP_Jalaun,overall,11662
UP_Jaunpur,overall,22571
UP_Jhansi,overall,36539
UP_Kannauj,overall,9220
UP_Kanpur Dehat,overall,6190
UP_Kanpur Nagar,overall,82894
UP_Kasganj,overall,4248
UP_Kaushambi,overall,4416
UP_Kushinagar,overall,15611
UP_Lakhimpur Kheri,overall,24405
UP_Lalitpur,overall,12734
UP_Lucknow,overall,238655
UP_Maharajganj,overall,12407
UP_Mahoba,overall,4268
UP_Mainpuri,overall,10018
UP_Mathura,overall,20274
UP_Mau,overall,8324
UP_Meerut,overall,69424
UP_Mirzapur,overall,11082
UP_Moradabad,overall,39095
UP_Muzaffarnagar,overall,31002
UP_Pilibhit,overall,11028
UP_Prayagraj,overall,78615
UP_Rae Bareli,overall,17075
UP_Rampur,overall,11822
UP_Saharanpur,overall,32721
UP_Sambhal,overall,9436
UP_Sant Kabir Nagar,overall,8157
UP_Shahjahanpur,overall,20353
UP_Shamli,overall,12974
UP_Shrawasti,overall,4385
UP_Siddharthnagar,overall,9365
UP_Sitapur,overall,12393
UP_Sonbhadra,overall,16801
UP_Sultanpur,overall,14909
UP_Unnao,overall,14998
UP_Varanasi,overall,85472
UT_Almora,overall,12140
UT_Bageshwar,overall,5720
UT_Chamoli,overall,12151
UT_Champawat,overall,7549
UT_Dehradun,overall,111965
UT_Haridwar,overall,51403
UT_Nainital,overall,39080
UT_Pauri Garhwal,overall,17545
UT_Pithoragarh,overall,10169
UT_Rudraprayag,overall,8744
UT_Tehri Garhwal,overall,15818
UT_Udham Singh Nagar,overall,37816
UT_Uttarkashi,overall,12472
WB_Alipurduar,overall,15068
WB_Bankura,overall,34815
WB_Birbhum,overall,40444
WB_Cooch Behar,overall,28042
WB_Dakshin Dinajpur,overall,17003
WB_Darjeeling,overall,54276
WB_Hooghly,overall,82276
WB_Howrah,overall,94985
WB_Jalpaiguri,overall,40381
WB_Jhargram,overall,11467
WB_Kalimpong,overall,6563
WB_Kolkata,overall,311430
WB_Malda,overall,32729
WB_Murshidabad,overall,33651
WB_Nadia,overall,69784
WB_North 24 Parganas,overall,320427
WB_Paschim Bardhaman,overall,56437
WB_Paschim Medinipur,overall,51227
WB_Purba Bardhaman,overall,40280
WB_Purba Medinipur,overall,61010
WB_Purulia,overall,19214
WB_South 24 Parganas,overall,96779
WB_Uttar Dinajpur,overall,19536
