districtid,overallid,dose1,dose2
KA_Ramanagara,overall,483697,183849
KA_Shivamogga,overall,655560,212328
KA_Tumakuru,overall,1015968,275555
KA_Udupi,overall,600711,220649
KA_Uttara Kannada,overall,566530,196730
KA_Vijayapura,overall,725018,179674
KA_Yadgir,overall,363011,122734
KL_Alappuzha,overall,1027552,448687
KL_Ernakulam,overall,2223747,745275
KL_Idukki,overall,621939,216039
KL_Kannur,overall,1232803,504665
KL_Kasaragod,overall,643329,281687
KL_Kollam,overall,1316718,505635
KL_Kottayam,overall,1065097,419359
KL_Kozhikode,overall,1506653,585899
KL_Malappuram,overall,1392634,561718
KL_Palakkad,overall,1209284,421074
KL_Pathanamthitta,overall,879424,382059
KL_Thiruvananthapuram,overall,1955708,743860
KL_Thrissur,overall,1604016,631094
KL_Wayanad,overall,602787,210762
LA_Kargil,overall,82806,29998
LA_Leh,overall,106729,42827
LD_Lakshadweep,overall,51678,17875
MH_Ahmednagar,overall,1011761,398032
MH_Akola,overall,431233,167155
MH_Amravati,overall,691927,251834
MH_Beed,overall,611007,190610
MH_Bhandara,overall,466299,153751
MH_Buldhana,overall,658422,229351
MH_Chandrapur,overall,581626,169035
MH_Dhule,overall,534288,169102
MH_Gadchiroli,overall,287000,69355
MH_Gondia,overall,556195,144079
MH_Hingoli,overall,244667,58953
MH_Jalgaon,overall,831795,271794
MH_Jalna,overall,524100,157856
MH_Kolhapur,overall,1281779,700029
MH_Latur,overall,615120,203038
MH_Mumbai,overall,6169741,2075554
MH_Nagpur,overall,1972659,698551
MH_Nanded,overall,676284,225318
MH_Nandurbar,overall,426892,108510
MH_Nashik,overall,1554167,548271
MH_Osmanabad,overall,371522,125176
MH_Palghar,overall,602297,216487
MH_Parbhani,overall,449641,147665
MH_Pune,overall,5097676,1772882
MH_Raigad,overall,752669,245866
MH_Ratnagiri,overall,418962,136049
MH_Sangli,overall,1021917,429256
MH_Satara,overall,1026507,440652
MH_Sindhudurg,overall,291705,107470
MH_Solapur,overall,824586,301349
MH_Thane,overall,2898733,1064471
MH_Wardha,overall,444124,143957
MH_Washim,overall,387960,142456
MH_Yavatmal,overall,670562,216553
ML_East Garo Hills,overall,38891,10335
ML_East Jaintia Hills,overall,53634,13228
ML_East Khasi Hills,overall,287501,84505
ML_North Garo Hills,overall,51584,11143
ML_Ribhoi,overall,79479,17162
ML_South Garo Hills,overall,31406,9316
ML_South West Garo Hills,overall,62659,15253
ML_South West Khasi Hills,overall,30510,6384
ML_West Garo Hills,overall,189614,46616
ML_West Jaintia Hills,overall,76299,21453
ML_West Khasi Hills,overall,67223,21964
MN_Bishnupur,overall,122294,21518
MN_Chandel,overall,24897,7736
MN_Churachandpur,overall,98473,23909
MN_Imphal East,overall,238949,60824
MN_Imphal West,overall,291475,69468
MN_Jiribam,overall,25146,3777
MN_Kakching,overall,76850,15197
MN_Kamjong,overall,9620,1689
MN_Kangpokpi,overall,36150,7067
MN_Noney,overall,16090,4369
MN_Pherzawl,overall,10543,3232
MN_Senapati,overall,25278,4958
MN_Tamenglong,overall,18480,4930
MN_Tengnoupal,overall,23357,5073
MN_Thoubal,overall,137355,26902
MN_Ukhrul,overall,18929,5701
MP_Agar Malwa,overall,267422,36015
MP_Alirajpur,overall,243565,31867
MP_Anuppur,overall,302339,43838
MP_Ashoknagar,overall,333750,54473
MP_Balaghat,overall,680509,117674
MP_Barwani,overall,460501,62901
MP_Betul,overall,670754,133950
MP_Bhind,overall,606743,94150
MP_Bhopal,overall,1620046,466679
MP_Burhanpur,overall,330007,81501
MP_Chhatarpur,overall,640479,97115
MP_Chhindwara,overall,824517,155235
MP_Damoh,overall,525156,71381
MP_Datia,overall,352859,56033
MP_Dewas,overall,683531,118989
MP_Dhar,overall,786773,133943
MP_Dindori,overall,309523,44344
MP_Guna,overall,487928,74216
MP_Gwalior,overall,1027971,254217
MP_Harda,overall,341010,55710
MP_Hoshangabad,overall,532804,113248
MP_Indore,overall,2609433,711027
MP_Jabalpur,overall,1305455,341432
MP_Jhabua,overall,341162,51907
MP_Katni,overall,490699,79883
MP_Khandwa,overall,572203,93789
MP_Khargone,overall,693825,111344
MP_Mandla,overall,378878,55832
MP_Mandsaur,overall,537652,90807
MP_Morena,overall,695887,110701
MP_Narsinghpur,overall,487537,87271
MP_Neemuch,overall,389449,80126
MP_Panna,overall,390820,39235
MP_Raisen,overall,541197,81874
MP_Rajgarh,overall,691364,101736
MP_Ratlam,overall,635463,121833
MP_Rewa,overall,861183,168522
MP_Sagar,overall,1051433,230178
MP_Satna,overall,737747,142797
MP_Sehore,overall,694599,133683
MP_Seoni,overall,546792,94796
MP_Shahdol,overall,508236,77403
MP_Shajapur,overall,415951,76695
MP_Sheopur,overall,197800,28011
MP_Shivpuri,overall,580330,80650
MP_Sidhi,overall,393113,47455
MP_Singrauli,overall,409156,58771
MP_Tikamgarh,overall,545079,94769
MP_Ujjain,overall,1111911,267505
MP_Umaria,overall,249255,34650
MP_Vidisha,overall,572841,101467
MZ_Aizawl,overall,303167,101537
MZ_Champhai,overall,69664,25156
MZ_Kolasib,overall,44798,14153
MZ_Lawngtlai,overall,39755,10188
MZ_Lunglei,overall,87150,30779
MZ_Mamit,overall,41954,12962
MZ_Saiha,overall,32974,8023
MZ_Serchhip,overall,40647,14893
NL_Dimapur,overall,230052,48778
NL_Kiphire,overall,12246,3552
NL_Kohima,overall,97323,25023
NL_Longleng,overall,19802,6045
NL_Mokokchung,overall,65213,21730
NL_Mon,overall,64706,18142
NL_Peren,overall,17497,5597
NL_Phek,overall,29328,9612
NL_Tuensang,overall,34634,9496
NL_Wokha,overall,32634,12015
NL_Zunheboto,overall,35944,7950
OR_Angul,overall,375831,82830
OR_Balangir,overall,541895,93135
OR_Balasore,overall,689420,264589
OR_Bargarh,overall,428881,109536
OR_Bhadrak,overall,543316,125676
OR_Boudh,overall,133566,28351
OR_Cuttack,overall,930295,284638
OR_Deogarh,overall,117016,22971
OR_Dhenkanal,overall,419475,93532
OR_Gajapati,overall,196970,43736
OR_Ganjam,overall,1516454,468809
OR_Jagatsinghpur,overall,323687,119052
OR_Jajpur,overall,542859,149573
OR_Jharsuguda,overall,254837,56059
OR_Kalahandi,overall,461519,123538
OR_Kandhamal,overall,226470,56560
