State,Level,Name,TOT_P,TOT_M,TOT_F
10,DISTRICT,aurangabad,2540073,1318684,1221389
10,DISTRICT,gaya,4391418,2266566,2124852
10,DISTRICT,nawada,2219146,1144668,1074478
10,DISTRICT,jamui,1760405,916064,844341
10,DISTRICT,jehanabad,1125313,585582,539731
10,DISTRICT,arwal,700843,363497,337346
11,STATE,Sikkim,610577,323070,287507
11,DISTRICT,north sikkim,43709,24730,18979
11,DISTRICT,west sikkim,136435,70238,66197
11,DISTRICT,south sikkim,146850,76670,70180
11,DISTRICT,east sikkim,283583,151432,132151
12,STATE,Arunachal Pradesh,1383727,713912,669815
12,DISTRICT,tawang,49977,29151,20826
12,DISTRICT,west kameng,83947,46155,37792
12,DISTRICT,east kameng,78690,38775,39915
12,DISTRICT,papum pare,176573,89182,87391
12,DISTRICT,upper subansiri,83448,41758,41690
12,DISTRICT,west siang,112274,58168,54106
12,DISTRICT,east siang,99214,50116,49098
12,DISTRICT,upper siang,35320,18699,16621
12,DISTRICT,changlang,148226,76948,71278
12,DISTRICT,tirap,111975,57604,54371
12,DISTRICT,lower subansiri,83030,41843,41187
12,DISTRICT,kurung kumey,92076,45318,46758
12,DISTRICT,upper dibang valley,8004,4414,3590
12,DISTRICT,lower dibang valley,54080,28053,26027
12,DISTRICT,lohit,145726,76221,69505
12,DISTRICT,anjaw,21167,11507,9660
13,STATE,Nagaland,1978502,1024649,953853
13,DISTRICT,mon,250260,131753,118507
13,DISTRICT,mokokchung,194622,101092,93530
13,DISTRICT,zunheboto,140757,71217,69540
13,DISTRICT,wokha,166343,84505,81838
13,DISTRICT,dimapur,378811,197394,181417
13,DISTRICT,phek,163418,83743,79675
13,DISTRICT,tuensang,196596,101933,94663
13,DISTRICT,longleng,50484,26502,23982
13,DISTRICT,kiphire,74004,37830,36174
13,DISTRICT,kohima,267988,138966,129022
13,DISTRICT,peren,95219,49714,45505
14,STATE,Manipur,2855794,1438586,1417208
14,DISTRICT,senapati,479148,247323,231825
14,DISTRICT,tamenglong,140651,72371,68280
14,DISTRICT,churachandpur,274143,138820,135323
14,DISTRICT,bishnupur,237399,118782,118617
14,DISTRICT,thoubal,422168,210845,211323
14,DISTRICT,imphal west,517992,255054,262938
14,DISTRICT,imphal east,456113,226094,230019
14,DISTRICT,ukhrul,183998,94718,89280
14,DISTRICT,chandel,144182,74579,69603
15,STATE,Mizoram,1097206,555339,541867
15,DISTRICT,mamit,86364,44828,41536
15,DISTRICT,kolasib,83955,42918,41037
15,DISTRICT,aizawl,400309,199270,201039
15,DISTRICT,champhai,125745,63388,62357
15,DISTRICT,serchhip,64937,32851,32086
15,DISTRICT,lunglei,161428,82891,78537
15,DISTRICT,lawngtlai,117894,60599,57295
15,DISTRICT,saiha,56574,28594,27980
16,STATE,Tripura,3673917,1874376,1799541
16,DISTRICT,west tripura,1725739,879428,846311
16,DISTRICT,south tripura,876001,447544,428457
16,DISTRICT,dhalai,378230,194544,183686
16,DISTRICT,north tripura,693947,352860,341087
17,STATE,Meghalaya,2966889,1491832,1475057
17,DISTRICT,west garo hills,643291,324159,319132
17,DISTRICT,east garo hills,317917,161223,156694
17,DISTRICT,south garo hills,142334,73170,69164
17,DISTRICT,west khasi hills,383461,193715,189746
17,DISTRICT,ribhoi,258840,132531,126309
17,DISTRICT,east khasi hills,825922,410749,415173
17,DISTRICT,jaintia hills,395124,196285,198839
18,STATE,Assam,31205576,15939443,15266133
18,DISTRICT,kokrajhar,887142,452905,434237
18,DISTRICT,dhubri,1949258,997848,951410
18,DISTRICT,goalpara,1008183,513292,494891
18,DISTRICT,barpeta,1693622,867004,826618
18,DISTRICT,morigaon,957423,486651,470772
18,DISTRICT,nagaon,2823768,1439112,1384656
18,DISTRICT,sonitpur,1924110,983904,940206
18,DISTRICT,lakhimpur kheri,1042137,529674,512463
18,DISTRICT,dhemaji,686133,351249,334884
18,DISTRICT,tinsukia,1327929,680231,647698
18,DISTRICT,dibrugarh,1326335,676434,649901
18,DISTRICT,sivasagar,1151050,589216,561834
18,DISTRICT,jorhat,1092256,556805,535451
18,DISTRICT,golaghat,1066888,543161,523727
18,DISTRICT,karbi anglong,956313,490167,466146
18,DISTRICT,dima hasao,214102,110802,103300
18,DISTRICT,cachar,1736617,886284,850333
18,DISTRICT,karimganj,1228686,625864,602822
18,DISTRICT,hailakandi,659296,337890,321406
18,DISTRICT,bongaigaon,738804,375818,362986
18,DISTRICT,chirang,482162,244860,237302
18,DISTRICT,kamrup,1517542,778461,739081
18,DISTRICT,kamrup metropolitan,1253938,647585,606353
18,DISTRICT,nalbari,771639,396006,375633
18,DISTRICT,baksa,950075,481330,468745
18,DISTRICT,darrang,928500,475273,453227
18,DISTRICT,udalguri,831668,421617,410051
19,STATE,West Bengal,91276115,46809027,44467088
19,DISTRICT,darjeeling,1846823,937259,909564
19,DISTRICT,jalpaiguri,3872846,1983064,1889782
19,DISTRICT,cooch behar,2819086,1451542,1367544
19,DISTRICT,uttar dinajpur,3007134,1551066,1456068
19,DISTRICT,dakshin dinajpur,1676276,857199,819077
19,DISTRICT,malda,3988845,2051541,1937304
19,DISTRICT,murshidabad,7103807,3627564,3476243
19,DISTRICT,birbhum,3502404,1790920,1711484
19,DISTRICT,barddhaman,7717563,3966889,3750674
19,DISTRICT,nadia,5167600,2653768,2513832
19,DISTRICT,north 24 parganas,10009781,5119389,4890392
19,DISTRICT,hooghly,5519145,2814653,2704492
19,DISTRICT,bankura,3596674,1838095,1758579
19,DISTRICT,purulia,2930115,1496996,1433119
19,DISTRICT,howrah,4850029,2500819,2349210
19,DISTRICT,kolkata,4496694,2356766,2139928
19,DISTRICT,south 24 parganas,8161961,4173778,3988183
19,DISTRICT,paschim medinipur,5913457,3007885,2905572
19,DISTRICT,purba medinipur,5095875,2629834,2466041
20,STATE,Jharkhand,32988134,16930315,16057819
20,DISTRICT,garhwa,1322784,683575,639209
20,DISTRICT,chatra,1042886,533935,508951
20,DISTRICT,koderma,716259,367222,349037
20,DISTRICT,giridih,2445474,1258098,1187376
20,DISTRICT,deoghar,1492073,775022,717051
20,DISTRICT,godda,1313551,677927,635624
20,DISTRICT,sahibganj,1150567,589391,561176
20,DISTRICT,pakur,900422,452661,447761
20,DISTRICT,dhanbad,2684487,1405956,1278531
20,DISTRICT,bokaro,2062330,1072807,989523
20,DISTRICT,lohardaga,461790,232629,229161
20,DISTRICT,east singhbhum,2293919,1176902,1117017
20,DISTRICT,palamu,1939869,1006302,933567
20,DISTRICT,latehar,726978,369666,357312
20,DISTRICT,hazaribagh,1734495,890881,843614
20,DISTRICT,ramgarh,949443,494230,455213
20,DISTRICT,dumka,1321442,668514,652928
20,DISTRICT,jamtara,791042,404830,386212
20,DISTRICT,ranchi,2914253,1494937,1419316
20,DISTRICT,khunti,531885,266335,265550
20,DISTRICT,gumla,1025213,514390,510823
20,DISTRICT,simdega,599578,300309,299269
20,DISTRICT,west singhbhum,1502338,749385,752953
20,DISTRICT,saraikela-kharsawan,1065056,544411,520645
21,STATE,Odisha,41974218,21212136,20762082
21,DISTRICT,bargarh,1481255,749161,732094
21,DISTRICT,jharsuguda,579505,296690,282815
21,DISTRICT,sambalpur,1041099,526877,514222
21,DISTRICT,deogarh,312520,158230,154290
21,DISTRICT,sundargarh,2093437,1061147,1032290
21,DISTRICT,kendujhar,1801733,906487,895246
21,DISTRICT,mayurbhanj,2519738,1256213,1263525
21,DISTRICT,balasore,2320529,1185787,1134742
21,DISTRICT,bhadrak,1506337,760260,746077
21,DISTRICT,kendrapara,1440361,717814,722547
21,DISTRICT,jagatsinghpur,1136971,577865,559106
21,DISTRICT,cuttack,2624470,1352760,1271710
21,DISTRICT,jajpur,1827192,926034,901158
21,DISTRICT,dhenkanal,1192811,612593,580218
21,DISTRICT,angul,1273821,655718,618103
21,DISTRICT,nayagarh,962789,502636,460153
21,DISTRICT,khordha,2251673,1167137,1084536
21,DISTRICT,puri,1698730,865380,833350
21,DISTRICT,ganjam,3529031,1779218,1749813
21,DISTRICT,gajapati,577817,282882,294935
21,DISTRICT,kandhamal,733110,359945,373165
21,DISTRICT,boudh,441162,221625,219537
21,DISTRICT,subarnapur,610183,311312,298871
21,DISTRICT,balangir,1648997,830097,818900
21,DISTRICT,nuapada,610382,301962,308420
21,DISTRICT,kalahandi,1576869,787101,789768
21,DISTRICT,rayagada,967911,471960,495951
21,DISTRICT,nabarangapur,1220946,604812,616134
21,DISTRICT,koraput,1379647,678809,700838
21,DISTRICT,malkangiri,613192,303624,309568
22,STATE,Chhattisgarh,25545198,12832895,12712303
22,DISTRICT,koriya,658917,334737,324180
22,DISTRICT,surguja,2359886,1193129,1166757
22,DISTRICT,jashpur,851669,424747,426922
22,DISTRICT,raigarh,1493984,750278,743706
22,DISTRICT,korba,1206640,612915,593725
22,DISTRICT,janjgir champa,1619707,815717,803990
22,DISTRICT,bilaspur,2663629,1351574,1312055
22,DISTRICT,kabeerdham,822526,412058,410468
22,DISTRICT,rajnandgaon,1537133,762855,774278
22,DISTRICT,durg,3343872,1682101,1661771
22,DISTRICT,raipur,4063872,2048186,2015686
22,DISTRICT,mahasamund,1032754,511967,520787
22,DISTRICT,dhamtari,799781,397897,401884
22,DISTRICT,uttar bastar kanker,748941,373338,375603
22,DISTRICT,bastar,1413199,698487,714712
22,DISTRICT,narayanpur,139820,70104,69716
22,DISTRICT,dakshin bastar dantewada,533638,264142,269496
22,DISTRICT,vijayapura,255230,128663,126567
23,STATE,Madhya Pradesh,72626809,37612306,35014503
23,DISTRICT,sheopur,687861,361784,326077
23,DISTRICT,morena,1965970,1068417,897553
23,DISTRICT,bhind,1703005,926843,776162
23,DISTRICT,gwalior,2032036,1090327,941709
23,DISTRICT,datia,786754,420157,366597
23,DISTRICT,shivpuri,1726050,919795,806255
23,DISTRICT,tikamgarh,1445166,760355,684811
23,DISTRICT,chhatarpur,1762375,936121,826254
23,DISTRICT,panna,1016520,533480,483040
23,DISTRICT,sagar,2378458,1256257,1122201
23,DISTRICT,damoh,1264219,661873,602346
23,DISTRICT,satna,2228935,1157495,1071440
23,DISTRICT,rewa,2365106,1225100,1140006
23,DISTRICT,umaria,644758,330674,314084
23,DISTRICT,neemuch,826067,422653,403414
23,DISTRICT,mandsaur,1340411,682851,657560
23,DISTRICT,ratlam,1455069,738241,716828
23,DISTRICT,ujjain,1986864,1016289,970575
23,DISTRICT,shajapur,1512681,780520,732161
23,DISTRICT,dewas,1563715,805359,758356
23,DISTRICT,dhar,2185793,1112725,1073068
23,DISTRICT,indore,3276697,1699627,1577070
23,DISTRICT,khargone,1873046,953121,919925
23,DISTRICT,barwani,1385881,699340,686541
23,DISTRICT,rajgarh,1545814,790212,755602
23,DISTRICT,vidisha,1458875,769568,689307
23,DISTRICT,bhopal,2371061,1236130,1134931
23,DISTRICT,sehore,1311332,683743,627589
23,DISTRICT,raisen,1331597,700358,631239
23,DISTRICT,betul,1575362,799236,776126
23,DISTRICT,harda,570465,294838,275627
23,DISTRICT,hoshangabad,1241350,648725,592625
23,DISTRICT,katni,1292042,662013,630029
23,DISTRICT,jabalpur,2463289,1277278,1186011
23,DISTRICT,narsinghpur,1091854,568810,523044
23,DISTRICT,dindori,704524,351913,352611
23,DISTRICT,mandla,1054905,525272,529633
23,DISTRICT,chhindwara,2090922,1064468,1026454
23,DISTRICT,seoni,1379131,695879,683252
23,DISTRICT,balaghat,1701698,842178,859520
23,DISTRICT,guna,1241519,649362,592157
23,DISTRICT,ashoknagar,845071,443837,401234
23,DISTRICT,shahdol,1066063,540021,526042
23,DISTRICT,anuppur,749237,379114,370123
23,DISTRICT,sidhi,1127033,575912,551121
23,DISTRICT,singrauli,1178273,613637,564636
23,DISTRICT,jhabua,1025048,515023,510025
23,DISTRICT,alirajpur,728999,362542,366457
23,DISTRICT,khandwa,1310061,674329,635732
23,DISTRICT,burhanpur,757847,388504,369343
24,STATE,Gujarat,60439692,31491260,28948432
24,DISTRICT,kutch,2092371,1096737,995634
24,DISTRICT,banaskantha,3120506,1610379,1510127
24,DISTRICT,patan,1343734,694397,649337
24,DISTRICT,mehsana,2035064,1056520,978544
24,DISTRICT,sabarkantha,2428589,1244231,1184358
24,DISTRICT,gandhinagar,1391753,723864,667889
24,DISTRICT,ahmedabad,7214225,3788051,3426174
24,DISTRICT,surendranagar,1756268,909917,846351
24,DISTRICT,rajkot,3804558,1974445,1830113
24,DISTRICT,jamnagar,2160119,1114192,1045927
24,DISTRICT,porbandar,585449,300209,285240
24,DISTRICT,junagadh,2743082,1404356,1338726
24,DISTRICT,amreli,1514190,771049,743141
24,DISTRICT,bhavnagar,2880365,1490201,1390164
24,DISTRICT,anand,2092745,1087224,1005521
24,DISTRICT,kheda,2299885,1185727,1114158
24,DISTRICT,panchmahal,2390776,1226961,1163815
24,DISTRICT,dahod,2127086,1068651,1058435
24,DISTRICT,vadodara,4165626,2153736,2011890
24,DISTRICT,narmada,590297,301086,289211
24,DISTRICT,bharuch,1551019,805707,745312
24,DISTRICT,dang,228291,113821,114470
24,DISTRICT,navsari,1329672,678165,651507
24,DISTRICT,valsad,1705678,887222,818456
24,DISTRICT,surat,6081322,3402224,2679098
24,DISTRICT,tapi,807022,402188,404834
25,DISTRICT,diu,52074,25642,26432
25,DISTRICT,daman,191173,124659,66514
25,DISTRICT,dadra and nagar haveli,343709,193760,149949
